,Brand,Variant ID,Variant,Price,Availability,SKU,Brand + Variant ID
0,Heba Linens,46336742719779,calligraphy-duvet-set,14495.0,False,672b94526d860,Heba Linens #46336742719779
1,Heba Linens,46635615027491,calligraphy-bath-mat-set,4295.0,False,672b9451e4a21,Heba Linens #46635615027491
2,Heba Linens,46383258698019,astronauts-swaddle-towel-sets,995.0,False,672b9440b801c,Heba Linens #46383258698019
3,Heba Linens,46383258763555,astronauts-swaddle-towel-sets,995.0,True,672b943fec8b4,Heba Linens #46383258763555
4,Heba Linens,46867430703395,flow-towels-set,2195.0,False,672b95f9ce279,Heba Linens #46867430703395
5,Heba Linens,46867430768931,flow-towels-set,2195.0,False,672b95f9218be,Heba Linens #46867430768931
6,Heba Linens,46353877205283,bra-and-underwear-bag,395.0,True,672b944f4d8e4,Heba Linens #46353877205283
7,Heba Linens,45686449307939,farashat-bathmat-set-2pcs,2395.0,False,672b95c9b8b46,Heba Linens #45686449307939
8,Heba Linens,45686449340707,farashat-bathmat-set-2pcs,2395.0,False,672b95c90ae23,Heba Linens #45686449340707
9,Heba Linens,46381754384675,ballerina-duvet-set,6395.0,True,672b9442c140d,Heba Linens #46381754384675
10,Heba Linens,45685065548067,esprit-towels-set-3pcs,1795.0,True,672b95a27e13f,Heba Linens #45685065548067
11,Heba Linens,46634747429155,paradise-towel-set,2395.0,True,672b9751155c8,Heba Linens #46634747429155
12,Heba Linens,46972020850979,catina-towel-set,1995.0,True,672b945ae006a,Heba Linens #46972020850979
13,Heba Linens,46972020949283,catina-towel-set,1995.0,True,672b945b977f6,Heba Linens #46972020949283
14,Heba Linens,46353713201443,boxer-underwear-bag,395.0,True,672b944ebfea1,Heba Linens #46353713201443
15,Heba Linens,46383232647459,baby-animals-swaddle-towel-sets,995.0,False,672b9440b0b7a,Heba Linens #46383232647459
16,Heba Linens,46383232712995,baby-animals-swaddle-towel-sets,995.0,True,672b943fe31db,Heba Linens #46383232712995
17,Heba Linens,46635670307107,calligraphy-guest-set,495.0,False,672b9454bc781,Heba Linens #46635670307107
18,Heba Linens,46344867905827,table-cloth-batterflies,6245.0,True,672b9451e57ce,Heba Linens #46344867905827
19,Heba Linens,46344867971363,table-cloth-batterflies,7495.0,False,672b9452b1858,Heba Linens #46344867971363
20,Heba Linens,46381868187939,ballerina-bath-robe,645.0,True,672b943feffbe,Heba Linens #46381868187939
21,Heba Linens,46381868253475,ballerina-bath-robe,945.0,False,672b9440ad92d,Heba Linens #46381868253475
22,Heba Linens,45689367494947,stone-towel-set-3pcs,1995.0,False,672b97845fb7e,Heba Linens #45689367494947
